Mileage,Cylinder,Liter,Cruise,Sound,Leather,Price
-1.4166033653,0.5270823796,0.0567010891,0.5731635965,0.6869787128,0.6172267549,-0.4075974341
-1.3050899016,0.5270823796,0.0567010891,0.5731635965,0.6869787128,-1.6181350062,-0.3845386229
-0.8096236258,0.5270823796,0.0567010891,0.5731635965,0.6869787128,-1.6181350062,-0.5183988076
-0.4257928198,0.5270823796,0.0567010891,0.5731635965,-1.4538386712,-1.6181350062,-0.5064547473
8.04268261466083E-006,0.5270823796,0.0567010891,0.5731635965,-1.4538386712,0.6172267549,-0.5062263995
0.2933104133,0.5270823796,0.0567010891,0.5731635965,0.6869787128,-1.6181350062,-0.5699721645
0.3347924457,0.5270823796,0.0567010891,0.5731635965,0.6869787128,-1.6181350062,-0.6184351452
0.3821307651,0.5270823796,0.0567010891,0.5731635965,0.6869787128,-1.6181350062,-0.6368432297
0.5110910836,0.5270823796,0.0567010891,0.5731635965,-1.4538386712,0.6172267549,-0.6556546697
0.9141988342,0.5270823796,0.0567010891,0.5731635965,0.6869787128,0.6172267549,-0.6118579226
-1.1706393141,0.5270823796,0.5089597764,0.5731635965,-1.4538386712,-1.6181350062,-0.0007376218
-0.5814724474,0.5270823796,0.5089597764,0.5731635965,0.6869787128,-1.6181350062,-0.0814434239
-0.3902890802,0.5270823796,0.5089597764,0.5731635965,0.6869787128,-1.6181350062,-0.0840730452
-0.0038961486,0.5270823796,0.5089597764,0.5731635965,0.6869787128,0.6172267549,-0.143551426
0.4303231263,0.5270823796,0.5089597764,0.5731635965,0.6869787128,0.6172267549,-0.1587170525
0.4798575533,0.5270823796,0.5089597764,0.5731635965,0.6869787128,-1.6181350062,-0.2022264034
0.5095050059,0.5270823796,0.5089597764,0.5731635965,-1.4538386712,-1.6181350062,-0.2264083935
0.7566891169,0.5270823796,0.5089597764,0.5731635965,0.6869787128,0.6172267549,-0.2832330211
1.5938941364,0.5270823796,0.5089597764,0.5731635965,0.6869787128,-1.6181350062,-0.3576122824
1.809722711,0.5270823796,0.5089597764,0.5731635965,0.6869787128,0.6172267549,-0.3413612278
-1.3252208879,0.5270823796,0.5089597764,0.5731635965,0.6869787128,-1.6181350062,0.1027566046
