0.5
[ 49.17762252]
[ 7.33385553]
[-6.98810879]
[-0.01560355]
[ 0.00452627]
[ 1.217394]
-
[ 19.62505866]
[ 2.59379801]
[ 0.00610124]
[ 0.01007012]
[ 1.99849926]
[ 1.09677311]
-
1
[ 49.16941521]
[ 7.32593874]
[-6.98798722]
[-0.0148658]
[ 0.00360993]
[ 1.22104287]
-
[ 19.61548826]
[ 2.57950736]
[ 0.00623211]
[ 0.00958209]
[ 1.99802616]
[ 1.10334725]
-
5
[ 19.53469822]
[ 2.46868143]
[ 0.00746978]
[ 0.01156729]
[ 1.99451875]
[ 1.1543625]
-
[ 49.10019027]
[ 7.21567735]
[-6.98686862]
[-0.01753173]
[ 0.00616436]
[ 1.27146257]
-
