,0,0.5,5,0.1,1,10,0.01
,1.2085861642,1.1903574201,1.1180361638,1.1935964432,0.4612334669,0.9100640555,1.2002562664
,0.2267398533,0.2218684386,0.1696783957,0.2253052911,0.1005068299,0.0611717005,0.2263210323
,-0.1652999339,-0.1593497453,-0.0958053874,-0.1640626091,-1.41845670463262E-009,-3.65182303447752E-006,-0.1651483619
,-0.0077167544,-0.0028456445,-1.24387187828419E-008,-0.0065161098,0.0362816166,-7.25904704090895E-009,-0.0074498258
,-0.013238172,0.001759988,0.044786601,0.0014480395,0.003482698,0.2226006661,-0.0047316089
,-,,,,,,
,0.4842959674,0.4704048227,0.3607634036,0.4761473928,1.1843563228,0.1538052079,0.4775000857
,0.1148458534,0.1078408659,0.0237029005,0.1134028548,0.2171213945,6.93891149620778E-008,0.1146458501
,-0.0009139026,-9.1825650495493E-008,4.65532216334831E-011,-0.000321641,-0.1532169931,-4.53021279198325E-009,-0.0009956838
,0.0477632363,0.0422499675,0.000000005,0.0466265507,-5.74808493289952E-006,2.6369465872755E-008,0.0475327728
,-0.0067638954,0.0007514235,0.0441411138,0.000131797,0.0042677152,0.1642788046,-0.0001264719
,-,,,,,,
obj,0.7985000001,0.8373497613,4.614973892,0.8012799548,0.9476266918,14.7053482939,0.7990581346
,-,,,,,,
rms,0.0438632453,0.0444780727,0.0830420279,0.0439177768,0.0183075281,0.1654908338,0.0438707425
,-,,,,,,
crisp,0.3847968569,0.3956597899,1.3791956807,0.3857542242,0.0670331173,5.4774432122,0.3849284092
,-,,,,,,
