ari,rmse_3f,rmse_all
0.068218147364603354,0.72541390349319357,0.68743434878209853
0.017633643387206101,0.7254139034142334,0.68041886450294597
0.068218147364603354,0.72541390347406265,0.68743434612791465
0.017633643387206101,0.72541390360700286,0.68041885483677567
0.017633643387206101,0.7254139034877366,0.68041886363698623
0.017633643387206101,0.72541390371883974,0.68041885464880214
0.017633643387206101,0.72541390368044667,0.68041885465520147
0.068218147364603354,0.72541390365781411,0.68743434716328078
0.017633643387206101,0.7254139037523275,0.68041885453113304
0.44612681541372418,0.72541390342700141,0.70537682429764115
0.068218147364603354,0.72541390369157721,0.68743434592557462
0.44612681541372418,0.7254139037690418,0.70537683026737907
0.44612681541372418,0.72541390349629065,0.70537682435300053
0.068218147364603354,0.72541390371626924,0.6874343488788961
0.068218147364603354,0.72541390353464263,0.68743434883089516
0.017633643387206101,0.72541390354738944,0.68041886384136874
0.068218147364603354,0.72541390363447034,0.6874343481679801
0.017633643387206101,0.72541390368602976,0.68041886401847318
0.017633643387206101,0.72541390342751755,0.68041885439478078
0.068218147364603354,0.72541390373341919,0.68743434625940425
0.44612681541372418,0.72541390349647483,0.70537682599855389
0.017633643387206101,0.7254139035994227,0.68041885467396845
0.017633643387206101,0.7254139035332926,0.68041886355988301
0.44612681541372418,0.72541390353183643,0.70537683002247864
0.017633643387206101,0.72541390368662528,0.68041885466825602
0.017633643387206101,0.7254139034392636,0.68041885402474667
0.068218147364603354,0.72541390367124881,0.68743434916837154
0.017633643387206101,0.72541390349378998,0.6804188545298856
0.068218147364603354,0.72541390373460979,0.68743434886322508
